"","Year","School","Name","Height","Weight","Hand_Size","Arm_Length","Forty_Yard","Vertical_Leap","Broad_Jump","Shuttle","Three_Cone","NFL_QBR","Conference","Games","Completions","Attempts","Completion_Percentage","Yards","Y.A","TD","INT","College_QBR","Rush_Attempts","Rushing_Yds","Rushing_Avg","Rushing_Td","Rank","Power_Five"
"1",1987,"Baylor","Cody Carlson",75,191,9.25,31,4.82,29.5,111,4.45,9.99,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"2",1987,"Boston College","Shawn Halloran",76.3,217,10.25,31.25,5.14,23.5,94,4.53,9.99,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"3",1987,"Colorado State","Kelly Stouffer",75,212,NA,NA,4.95,28,108,4.51,9.99,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"4",1987,"Delaware","Rich Gannon",74.3,193,9.5,30,4.58,32.5,110,4.11,9.99,84.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"5",1987,"Frenso State (CA)","Kevin Sweeney",71.3,187,NA,NA,9.99,NA,NA,9.99,9.99,61.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"6",1987,"Miami (FL)","Vinny Testaverde",76.3,213,10,33.5,4.75,NA,NA,9.99,9.99,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"7",1987,"Michigan","Jim Harbaugh",74.3,203,9.75,31.25,9.99,NA,NA,9.99,9.99,77.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"8",1987,"Nicholls State (LA)","Doug Hudson",73.8,197,7.25,29,4.86,25,105,4.52,9.99,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"9",1987,"Northern Colorado","Loren Snyder",75.6,207,NA,NA,5.15,26.5,104,4.63,9.99,59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"10",1987,"Notre Dame","Steve Beuerlein",74.4,203,10,30,5.1,23,93,4.63,9.99,80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"11",1987,"Oregon","Chris Miller",73.4,190,NA,NA,4.74,30.5,117,4.35,9.99,74.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"12",1987,"Virginia","Don Majkowski",73.5,199,9,32.25,4.83,34,116,4.13,9.99,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"13",1988,"Florida","Kerwin Bell",74.1,200,9.5,NA,5.07,28.5,102,4.63,9.99,214.6,"SEC",11,140,239,0.59,1769,7.4,9,10,124.8,42,-184,42.1,0,NA,TRUE
"14",1988,"Georgia Tech","Rick Strom",74.3,203,9.25,NA,4.72,31,108,4.39,9.99,66.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"15",1988,"Louisiana-Monroe","Stan Humphries",73.9,223,10.25,NA,4.93,28,102,4.56,9.99,75.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"16",1988,"Washington","Chris Chandler",75.9,211,9.25,NA,4.87,30,102,4.4,9.99,80,"Pac-10",11,128,249,0.51,1739,7,9,11,113.2,46,136,37.8,3,NA,TRUE
"17",1989,"Duke","Anthony Dilweg",75.4,199,NA,NA,4.78,28,102,4.37,9.99,72.3,"ACC",11,287,484,0.59,3824,7.9,24,18,134.6,55,-111,69.5,2,NA,TRUE
"18",1989,"Oregon State","Erik Wilhelm",74.8,209,NA,NA,5.18,26,101,4.21,9.99,71.1,"Pac-10",22,501,865,0.58,5632,6.5,35,30,119,111,-93,-0.8,2,NA,TRUE
"19",1989,"Princeton","Jason Garrett",72.5,192,NA,NA,4.85,29.5,109,4.06,9.99,83.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"20",1989,"Southern California","Rodney Peete",72.5,195,NA,NA,4.72,29,103,4.53,9.99,73.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"21",1989,"Syracuse","Todd Philcox",76,213,NA,NA,5.12,27.5,100,4.43,9.99,57.4,"Ind",11,141,234,0.6,2076,8.9,16,11,147.9,73,1,28.4,0,NA,FALSE
"22",1989,"Tennessee","Jeff Francis",75.5,218,NA,NA,4.9,29.5,102,4.51,9.99,139.6,"SEC",23,312,515,0.61,3749,7.3,21,19,127.8,140,122,0.9,3,NA,TRUE
"23",1989,"Texas Tech","Billy Joe Tolliver",72.6,217,NA,NA,5.09,28.5,96,4.42,9.99,66.6,"SWC",22,287,550,0.52,4291,7.8,27,24,125.2,75,-251,-3.3,1,NA,FALSE
"24",1989,"Wake Forest","Mike Elkins",75.3,221,NA,NA,5.02,29.5,97,4.5,9.99,-154.2,"ACC",22,334,597,0.56,4120,6.9,21,29,115.8,101,-20,-0.2,3,NA,TRUE
"25",1989,"Weber State (UT)","Jeff Carlson",75,209,NA,NA,5.06,32,106,4.41,9.99,34.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"26",1990,"California","Troy Taylor",75.4,201,9.63,29.38,4.73,33.5,116,4.13,9.99,90.6,"Pac-10",33,591,1002,0.59,7235,7.2,50,38,128.5,272,165,0.6,1,NA,TRUE
"27",1990,"Idaho","John Friesz",76.3,209,8.75,31.63,5.29,22,97,4.57,9.99,72.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"28",1990,"Maine","Mike Buck",74.6,218,9.88,30.63,5.04,25,103,4.33,9.99,87.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"29",1990,"Maryland","Neil O'Donnell",74.3,217,9.13,31.25,4.89,32.5,109,4.03,9.99,81.8,"ACC",22,316,547,0.58,4076,7.5,22,15,128.2,171,122,0.7,3,NA,TRUE
"30",1990,"Washington","Cary Conklin",76,215,9.25,31,4.96,26.5,109,4.56,9.99,72.2,"Pac-10",22,361,667,0.54,4402,6.6,27,29,114.2,149,49,0.3,4,NA,TRUE
